username, created_at, lng, lat, text
TorontoKobus, Wed Jan 27 04:21:36 +0000 2021, -79.272570, 43.629311, .@maxfawcett @DuaneBratt @DonBraid @Dave_Khan @stephenharper Let's backtrack to May'20. @jkenney I'm fairly certain… https://t.co/UHwYN94eCN 
dhruv74_dhruv, Wed Jan 27 04:21:43 +0000 2021, -89.266508, 39.739300, IT BEGINS: Biden May Use COVID-19 Funding For Climate Change Programs https://t.co/5uyKKocNAqPriority is America… https://t.co/hcnsGbN4x1 
BearlyOne, Wed Jan 27 04:21:47 +0000 2021, -122.271542, 47.793024, What will he (they) day next? 
jimgeeting, Wed Jan 27 04:21:49 +0000 2021, -109.237371, 41.596432, @pdoocy please don't let them call it a "Muslim ban." It wasn't. And, the list of countries it banned were from Bid… https://t.co/ICrtKwV73V 
GSawision, Wed Jan 27 04:21:57 +0000 2021, -79.272570, 43.629311, @mariannaparraga Venezuela uses the same machines that BIDEN used to take the elections! #BidenRemorse 
xristakis, Wed Jan 27 04:22:26 +0000 2021, -114.087851, 51.027664, @EmilsonNunesCo2 @SteveScalise @GOPLeader Man, it must be so convenient to live in a world where you can just make… https://t.co/0KhvlBCdPh 
msunion1375, Wed Jan 27 04:22:31 +0000 2021, -80.742470, 41.245398, #PresidentBiden 
HeyItsSandhya, Wed Jan 27 04:22:46 +0000 2021, -122.436779, 37.621299, Yes!! 
Ben_Larivee, Wed Jan 27 04:22:57 +0000 2021, -111.880874, 33.282450, https://t.co/T7U9H2UXuO 
parokee, Wed Jan 27 04:23:12 +0000 2021, 53.674974, 32.396542, Biden speaks to Putin for first time since taking office https://t.co/nJiS2yzOh5 via @AJEnglish 
msunion1375, Wed Jan 27 04:23:19 +0000 2021, -80.742470, 41.245398, #presidentialdogs 
CABlueBlaze, Wed Jan 27 04:23:19 +0000 2021, -77.106830, 38.722179, @POTUS @VP @PressSec 👇🏾👇🏿👇🏿👇🏽 
UCLASemelFriend, Wed Jan 27 04:23:22 +0000 2021, -118.480420, 34.022688, As President Joe Biden introduces a coordinated federal approach to address the COVID-19 pandemic, he’s turning att… https://t.co/G6F7idcF7S 
chrisw442, Wed Jan 27 04:23:31 +0000 2021, -122.588975, 45.630589, Breaking a racist is being racist and the racist justice system is helping 
KeithMahler1, Wed Jan 27 04:23:35 +0000 2021, -71.566171, 44.001230, @stirednotshakn Fauci is satan!! He is paid/influenced by the elite of the world. And why is he paid the most of an… https://t.co/vBYTj41U5d 
ChelleStafford, Wed Jan 27 04:23:41 +0000 2021, -111.880874, 33.282450, Who’s the Dictator?? 
willyt69, Wed Jan 27 04:23:45 +0000 2021, -97.135638, 32.701850, Impeach Biden NOW! 
Sidb002671281, Wed Jan 27 04:24:23 +0000 2021, -75.097370, 39.657403, @marcorubio Marco you are just trying to capitalize off trump’s followers! It didn’t work for Cruz you think it wil… https://t.co/sR38Er2R0u 
NorCalSportsFan, Wed Jan 27 04:24:30 +0000 2021, -121.877735, 37.662948, @CalBear949 @JeffBar54840954 @jaketapper After they wouldn’t agree to merit based immigration and wall money to sec… https://t.co/JmxtkUQR1i 
busyacat, Wed Jan 27 04:24:31 +0000 2021, -118.411907, 34.020789, https://t.co/dnL0XD5G41 
guilledaniels, Wed Jan 27 04:24:33 +0000 2021, -58.390118, -34.702245, Que horror que esto sea presidente. 
GSheppard1956, Wed Jan 27 04:24:44 +0000 2021, -80.984344, 43.368880, @Amy_Siskind This is worrisome Amy. 
kauaiiandave, Wed Jan 27 04:24:54 +0000 2021, -120.414519, 37.955123, Nope! 
parokee, Wed Jan 27 04:25:01 +0000 2021, 53.674974, 32.396542, Biden signs executive actions addressing ‘racial equity’ https://t.co/rqi8bd1FOX via @AJEnglish 
mary50341731, Wed Jan 27 04:25:07 +0000 2021, -82.669467, 40.365160, Did you find out whose speaking in his headphones😆 
ElliotMalin, Wed Jan 27 04:25:13 +0000 2021, -119.827182, 39.512436, Abide by the terms of use and go about my day because I understand that the “Freedom of Speech” concept only applie… https://t.co/drqSww6StP 
BritsinCancun, Wed Jan 27 04:25:18 +0000 2021, -87.031665, 21.048719, @Acyn @vtbirkenstock They are all Liars.... Tell me this isnt Political when the Democrats have now started to reop… https://t.co/KOsjIRtRbO 
anantucketlady, Wed Jan 27 04:25:41 +0000 2021, -112.283112, 33.615955, Idiot in chief 
Vic_Stone1, Wed Jan 27 04:25:53 +0000 2021, -116.517290, 33.825080, Biden has looked to establish a sharp break from the warm rhetoric often displayed toward Putin by his predecessor,… https://t.co/lpVUW4AOzj 
seal_da_zeal, Wed Jan 27 04:26:03 +0000 2021, -82.161782, 28.012167, So Biden is on CRT too?  Who would of known 🙄🙄🙄🙄But ya’ll on the right side of History tho.... wrong side of Chri… https://t.co/UbQBUjf1gD 
TimeForRates, Wed Jan 27 04:26:16 +0000 2021, -73.440939, 41.156281, @Lancegooden Biden was burden with unwinding all of Trump’s meathead executive orders. 
leargtl, Wed Jan 27 04:26:42 +0000 2021, -82.742582, 27.822598, @EmeraldRobinson I use one and this pisses me off. Is Biden helping his rich donors? 
sophieawill, Wed Jan 27 04:26:48 +0000 2021, -73.948775, 40.655138, Biden after 1 week of being President: https://t.co/uqvEBEoSG1 
JFDSFla, Wed Jan 27 04:27:16 +0000 2021, -80.149173, 26.150368, Absolutely Best day so far! 
PatriotAdamos, Wed Jan 27 04:27:28 +0000 2021, -111.738566, 33.295215, @POTUS @JoeBiden You are the “China Virus.” 🇨🇳 #Idiot 
fadeawaydamaris, Wed Jan 27 04:27:53 +0000 2021, -115.128846, 36.136412, @dant1234 @GovSisolak And I dunno what 70k jobs done is about but if you're blaming 1 week of Biden for job losses… https://t.co/5ZbNmIIgva 
pattymchugh1212, Wed Jan 27 04:28:27 +0000 2021, -77.604684, 41.117936, Biden's Cabinet gradually confirmed by Senate https://t.co/YG4szS2mEh 
aniela1947, Wed Jan 27 04:28:44 +0000 2021, -74.096050, 40.902760, While he stayed in his basement.  They couldn’t draw a crowd in a parking lot an they stole the presidency! 
TeriRobins2, Wed Jan 27 04:28:56 +0000 2021, -122.935530, 45.530779, I missed this today as Biden was walking out of the presser today a Fox reporter asked him what he had talked to Pu… https://t.co/uQ0lDnBlFZ 
L_Novaski1, Wed Jan 27 04:29:02 +0000 2021, -81.698887, 28.017305, Too bad your Texas didn’t remain a sovereign state way back when then we would be listening to your BS today Kenny-… https://t.co/XYUXzcqAEk 
leftistthot420, Wed Jan 27 04:29:13 +0000 2021, -111.528078, 33.422364, im gonna be the first transgender hunter biden 
lynn_elizabethh, Wed Jan 27 04:30:04 +0000 2021, -117.462698, 34.108160, don’t bitch about gas prices going up if you voted for biden. you’ll look like a fool. 
ApunkSOF, Wed Jan 27 04:30:19 +0000 2021, 106.831300, -6.332802, prophet Biden miracle 🙈🤑💉😂 
felipeleon88, Wed Jan 27 04:30:23 +0000 2021, -78.556681, -0.166570, Desde que Joe Biden llego a Washington ya nadie tiene la menor idea de nada. Ha sido contagioso. https://t.co/MpbO91pFHI 
NorCalSportsFan, Wed Jan 27 04:30:30 +0000 2021, -121.877735, 37.662948, @thehill Every border state should file lawsuit. Crazy policy. Now masses will be trying to get in from Central Ame… https://t.co/lSfEzZoigA 
alwaysUSA1st, Wed Jan 27 04:30:30 +0000 2021, -119.306608, 37.269176, Could? I believe definitely! 
denises76521661, Wed Jan 27 04:30:38 +0000 2021, -74.153947, 40.572376, https://t.co/gj14UP7nE0 
tvenezia2, Wed Jan 27 04:30:53 +0000 2021, -72.801980, 41.537233, @Hoigwai @RepAdamSchiff @RandPaul Rules for Rand Paul but not for Biden? 🤔 
